a	b	cor	markers
1_CC001	5_CC005	0.28451434597651004	18
1_CC001	8_CC005	0.4217742063932009	20
1_CC001	707_T790M	0.1927304493194064	18
1_CC001	708_T790M	0.169514476121721	18
1_CC001	709_T790M	0.17606686503354677	18
1_CC001	710_T790M	-0.04152678415573996	17
1_CC001	713_T790M	0.20855717934543028	18
1_CC001	714A_T790M	-0.039113736773525254	18
1_CC001	714B_T790M	0.09248471216334708	18
1_CC001	714C_T790M	0.11716039140640153	18
1_CC001	715A_T790M	-0.07926342141936929	18
1_CC001	716_T790M	-0.18711442361990618	18
1_CC001	717_T790M	-0.0975545826450382	18
1_CC001	T10_WGS00C	-0.08882590726891433	21
1_CC001	T16_WGS00C	-0.030555311461518558	21
1_CC001	T5_WGS00D	-0.28506994866227586	19
1_CC001	T18_WGS00E	0.2583003152613602	21
1_CC001	T25_WGS00E	-0.1290936457161737	21
2_CC001	12_CC002	-0.16812368911412015	17
2_CC001	15_CC002	-0.02653141022444804	16
2_CC001	8_CC005	0.08300324193254921	16
2_CC001	707_T790M	-0.1558853090721271	16
2_CC001	708_T790M	-0.15344667245006316	16
2_CC001	709_T790M	-0.15827104159383443	16
2_CC001	713_T790M	-0.13757105363143163	16
2_CC001	714A_T790M	0.15411059632959048	16
2_CC001	714B_T790M	0.13589911134932436	16
2_CC001	714C_T790M	-0.05262044221067192	16
2_CC001	715A_T790M	-0.028133825115585792	16
2_CC001	716_T790M	0.07021769486839084	16
2_CC001	717_T790M	0.09871046710600456	16
2_CC001	T10_WGS00C	0.10504393968415743	17
2_CC001	T16_WGS00C	0.1281712095821818	16
2_CC001	T18_WGS00E	0.21613955243599534	16
2_CC001	T25_WGS00E	-0.10273978118647707	17
3_CC001	12_CC002	0.2489332133181217	16
3_CC001	15_CC002	0.28524609829391884	16
3_CC001	8_CC005	-0.08754072387490543	16
3_CC001	707_T790M	-0.02327673598432533	16
3_CC001	708_T790M	0.029653707544905268	16
3_CC001	709_T790M	0.049272176039073745	16
3_CC001	713_T790M	0.015166087618074942	16
3_CC001	714A_T790M	0.27343166982294387	16
3_CC001	714B_T790M	0.22291029110861113	16
3_CC001	714C_T790M	0.4490940237334915	16
3_CC001	715A_T790M	0.19032313672384538	16
3_CC001	716_T790M	0.19400149578885603	16
3_CC001	717_T790M	0.2716879326726627	16
3_CC001	T10_WGS00C	-0.36231373482700646	16
3_CC001	T16_WGS00C	-0.2852845752332752	16
3_CC001	T18_WGS00E	0.08945007770935634	17
3_CC001	T25_WGS00E	-0.2518186356341815	17
12_CC002	5_CC005	-0.3896066687132062	20
12_CC002	8_CC005	-0.09097667894609612	23
12_CC002	707_T790M	-0.006841122121594251	21
12_CC002	708_T790M	-0.05322075232036781	21
12_CC002	709_T790M	-0.005552640052786245	21
12_CC002	710_T790M	-0.05439209251760759	20
12_CC002	713_T790M	-0.06572428450751151	21
12_CC002	714A_T790M	-0.0020578311860953253	21
12_CC002	714B_T790M	0.02909217956422284	21
